length	corrupt	iteration	seconds
xslt	0	0	0.964843
xslt	0	1	0.990862
xslt	0	2	1.207453
xslt	0	3	1.478029
xslt	0	4	1.43616
xslt	0	5	0.974826
xslt	0	6	1.285503
xslt	0	7	1.615681
xslt	0	8	1.109735
xslt	0	9	1.236261
tan	0	0	4.278183
tan	0	1	4.024856
tan	0	2	3.750972
tan	0	3	3.783151
tan	0	4	3.980894
tan	0	5	3.897293
tan	0	6	3.9105
tan	0	7	4.067127
tan	0	8	3.988336
tan	0	9	3.97836
10000	0	0	4.175205
10000	0	1	3.978639
10000	0	2	4.133899
10000	0	3	4.152236
10000	0	4	3.996315
10000	0	5	4.014268
10000	0	6	4.213467
10000	0	7	4.551831
10000	0	8	4.76925
10000	0	9	4.899763
10000	1	0	5.125887
10000	1	1	4.686475
10000	1	2	5.023229
10000	1	3	4.892919
10000	1	4	4.55881
10000	1	5	4.443903
10000	1	6	4.722814
10000	1	7	4.588297
10000	1	8	4.585706
10000	1	9	4.773022
10000	2	0	4.618554
10000	2	1	4.816966
10000	2	2	4.808552
10000	2	3	4.926904
10000	2	4	4.734521
10000	2	5	4.771398
10000	2	6	4.770313
10000	2	7	4.804607
10000	2	8	4.794387
10000	2	9	4.72366
10000	3	0	4.816249
10000	3	1	4.833512
10000	3	2	4.947312
10000	3	3	5.01695
10000	3	4	4.879686
10000	3	5	4.860539
10000	3	6	4.830675
10000	3	7	4.731311
10000	3	8	4.788252
10000	3	9	5.034875
10000	4	0	4.940353
10000	4	1	5.052444
10000	4	2	4.79025
10000	4	3	4.85054
10000	4	4	4.845551
10000	4	5	4.802218
10000	4	6	5.036868
10000	4	7	4.858806
10000	4	8	5.038995
10000	4	9	4.858357
10000	5	0	4.925751
10000	5	1	4.986199
10000	5	2	4.802224
10000	5	3	5.076592
10000	5	4	4.912863
10000	5	5	5.666842
10000	5	6	5.577878
10000	5	7	5.203087
10000	5	8	4.836986
10000	5	9	5.053537
10000	6	0	5.171846
10000	6	1	5.239041
10000	6	2	5.054486
10000	6	3	5.324826
10000	6	4	4.972667
10000	6	5	5.15492
10000	6	6	5.047961
10000	6	7	5.236039
10000	6	8	5.061337
10000	6	9	5.148801
10000	7	0	5.027683
10000	7	1	5.184139
10000	7	2	5.290859
10000	7	3	5.27706
10000	7	4	5.234996
10000	7	5	5.315492
10000	7	6	5.123155
10000	7	7	5.322746
10000	7	8	5.152757
10000	7	9	5.271904
10000	8	0	4.986407
10000	8	1	5.488816
10000	8	2	5.093122
10000	8	3	5.309805
10000	8	4	5.192367
10000	8	5	5.254207
10000	8	6	5.245851
10000	8	7	5.50284
10000	8	8	5.119755
10000	8	9	5.335782
10000	9	0	5.078028
10000	9	1	5.605028
10000	9	2	5.377622
10000	9	3	5.406614
10000	9	4	5.261022
10000	9	5	5.426361
10000	9	6	5.332523
10000	9	7	5.508617
10000	9	8	5.13513
10000	9	9	5.414959
10000	10	0	5.135998
10000	10	1	5.369222
10000	10	2	5.310001
10000	10	3	5.718386
10000	10	4	5.386108
10000	10	5	5.527012
10000	10	6	5.317666
10000	10	7	5.512139
10000	10	8	5.282152
10000	10	9	5.580331
10000	11	0	5.227243
10000	11	1	5.475946
10000	11	2	5.213005
10000	11	3	5.512891
10000	11	4	5.323486
10000	11	5	5.486028
10000	11	6	5.302707
10000	11	7	5.558263
10000	11	8	5.268849
10000	11	9	5.5917
10000	12	0	5.420469
10000	12	1	5.514317
10000	12	2	5.390274
10000	12	3	5.71612
10000	12	4	6.098698
10000	12	5	6.544368
10000	12	6	5.603247
10000	12	7	5.532323
10000	12	8	5.34416
10000	12	9	5.648896
10000	13	0	5.409535
10000	13	1	5.639428
10000	13	2	5.42648
10000	13	3	5.684799
10000	13	4	5.598895
10000	13	5	5.544477
10000	13	6	5.388692
10000	13	7	5.652924
10000	13	8	5.458768
10000	13	9	5.801725
10000	14	0	5.494649
10000	14	1	5.678813
10000	14	2	5.557024
10000	14	3	5.460649
10000	14	4	5.374762
10000	14	5	5.812769
10000	14	6	5.914959
10000	14	7	5.679175
10000	14	8	5.754609
10000	14	9	5.684132
10000	15	0	5.744092
10000	15	1	5.699485
10000	15	2	5.509129
10000	15	3	5.585356
10000	15	4	5.491329
10000	15	5	5.775261
10000	15	6	5.584305
10000	15	7	6.027812
10000	15	8	5.62296
10000	15	9	5.860387
10000	16	0	5.447316
10000	16	1	5.755607
10000	16	2	5.521183
10000	16	3	5.767187
10000	16	4	5.523968
10000	16	5	5.764969
10000	16	6	5.501136
10000	16	7	5.697664
10000	16	8	5.482749
10000	16	9	5.665087
10000	17	0	5.542387
10000	17	1	5.775884
10000	17	2	5.427324
10000	17	3	5.83445
10000	17	4	5.63565
10000	17	5	5.846707
10000	17	6	5.718098
10000	17	7	5.877489
10000	17	8	5.545894
10000	17	9	5.764012
10000	18	0	5.671478
10000	18	1	5.939854
10000	18	2	5.716909
10000	18	3	5.765884
10000	18	4	5.632356
10000	18	5	5.622174
10000	18	6	5.628031
10000	18	7	5.892707
10000	18	8	5.593419
10000	18	9	5.902883
10000	19	0	5.756044
10000	19	1	5.849354
10000	19	2	5.765362
10000	19	3	5.828759
