length	corrupt	iteration	seconds
xslt	0	0	1.156075
xslt	0	1	1.276475
xslt	0	2	1.329768
xslt	0	3	1.401079
xslt	0	4	1.156008
xslt	0	5	1.279236
xslt	0	6	1.440957
xslt	0	7	1.23787
xslt	0	8	1.264487
xslt	0	9	1.490087
tan	0	0	4.155118
tan	0	1	4.269942
tan	0	2	4.649594
tan	0	3	4.145676
tan	0	4	4.151464
tan	0	5	4.169778
tan	0	6	4.03086
tan	0	7	4.308414
tan	0	8	4.330525
tan	0	9	4.335519
100000	0	0	4.38296
100000	0	1	4.406936
100000	0	2	4.624682
100000	0	3	4.400996
100000	0	4	4.15363
100000	0	5	4.214733
100000	0	6	4.344029
100000	0	7	4.328063
100000	0	8	4.557298
100000	0	9	4.365724
100000	1	0	6.309942
100000	1	1	6.055254
100000	1	2	5.846023
100000	1	3	5.924191
100000	1	4	5.746585
100000	1	5	6.093698
100000	1	6	5.850029
100000	1	7	6.129109
100000	1	8	5.824293
100000	1	9	6.036666
100000	2	0	6.598851
100000	2	1	8.06938
100000	2	2	6.970387
100000	2	3	6.585012
100000	2	4	7.23119
100000	2	5	6.31409
100000	2	6	6.284239
100000	2	7	6.473532
100000	2	8	6.458516
100000	2	9	6.298623
100000	3	0	6.866653
100000	3	1	6.624928
100000	3	2	6.853089
100000	3	3	6.758677
100000	3	4	6.719028
100000	3	5	6.730017
100000	3	6	6.761254
100000	3	7	7.058012
100000	3	8	6.743026
100000	3	9	6.953737
100000	4	0	7.000785
100000	4	1	6.895427
100000	4	2	6.96866
100000	4	3	6.876111
100000	4	4	7.008466
100000	4	5	6.919809
100000	4	6	7.415506
100000	4	7	6.663276
100000	4	8	6.806044
100000	4	9	6.907472
100000	5	0	7.293358
100000	5	1	7.197271
100000	5	2	7.410977
100000	5	3	7.105333
100000	5	4	7.210568
100000	5	5	7.244995
100000	5	6	6.902429
100000	5	7	7.669067
100000	5	8	7.45985
100000	5	9	7.323281
100000	6	0	7.607764
100000	6	1	7.051438
100000	6	2	7.137487
100000	6	3	7.255448
100000	6	4	7.197971
100000	6	5	7.513407
100000	6	6	7.363814
100000	6	7	7.081804
100000	6	8	7.19662
100000	6	9	7.231183
100000	7	0	7.748359
100000	7	1	7.529864
100000	7	2	7.799502
100000	7	3	9.9128
100000	7	4	9.045897
100000	7	5	7.631904
100000	7	6	7.464021
100000	7	7	7.688837
100000	7	8	7.435364
100000	7	9	7.555178
100000	8	0	9.096954
100000	8	1	8.606784
100000	8	2	7.717765
100000	8	3	7.544499
100000	8	4	7.704662
100000	8	5	7.748927
100000	8	6	7.582088
100000	8	7	8.204338
100000	8	8	7.836114
100000	8	9	8.056042
100000	9	0	8.011748
100000	9	1	7.969729
100000	9	2	7.941616
100000	9	3	7.778125
100000	9	4	7.432978
100000	9	5	7.491299
100000	9	6	7.509836
100000	9	7	7.993278
100000	9	8	7.582619
100000	9	9	7.604944
100000	10	0	7.889541
100000	10	1	7.780476
100000	10	2	7.509311
100000	10	3	8.199354
100000	10	4	8.566816
100000	10	5	8.796705
100000	10	6	8.85555
100000	10	7	8.197118
100000	10	8	7.894879
100000	10	9	8.02994
100000	11	0	8.260679
100000	11	1	8.134502
100000	11	2	8.293569
100000	11	3	8.095084
100000	11	4	8.422684
100000	11	5	8.334779
100000	11	6	8.169276
100000	11	7	8.106668
100000	11	8	9.859944
100000	11	9	8.720131
100000	12	0	8.438776
100000	12	1	8.217762
100000	12	2	8.03269
100000	12	3	8.205682
100000	12	4	8.156824
100000	12	5	8.17964
100000	12	6	8.307821
100000	12	7	8.071979
100000	12	8	8.537134
100000	12	9	8.113384
100000	13	0	8.403868
100000	13	1	8.597658
100000	13	2	9.180959
100000	13	3	9.43031
100000	13	4	9.928117
100000	13	5	8.320503
100000	13	6	8.4196
100000	13	7	8.239844
100000	13	8	8.277672
100000	13	9	8.371588
